Familia	Especie	Categoría	Criterios	Fecha_evaluación	Fecha_publicación	Iniciativa	Estado
Acanthaceae	Aphelandra crispata	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Acanthaceae	Aphelandra formosa	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Acanthaceae	Aphelandra kingii	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Aphelandra mildbraediana	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Acanthaceae	Aphelandra pharangophila	NT		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Acanthaceae	Aphelandra porphyrocarpa	VU	B1ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Acanthaceae	Aphelandra taborensis	CR	B1ab(iii)+2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Acanthaceae	Aphelandra trianae	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Paramo - Universidad de Antioquia	en proceso
Acanthaceae	Justicia bracteosa	LC		2021	en proceso	LR GEPC - Endemicas Bosque Seco - Instituto Humboldt, Universidad de Antioquia	en proceso
Acanthaceae	Justicia cabrerae	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Justicia cuatrecasasii	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Justicia gutierrezii	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Justicia hyperdasya	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Justicia neurochlamys	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Justicia pelianthia	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Justicia phytolaccoides	en proceso	en proceso	2024	en proceso	Germán Torres	en proceso
Acanthaceae	Mendoncia caquetensis	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Mendoncia cuatrecasasii	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Mendoncia garciae	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Mendoncia phalacra	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Mendoncia zarucchii	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Pseuderanthemum galbanum	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Ruellia obtusa	LC		2021	en proceso	LR GEPC - Endemicas Bosque Seco - Instituto Humboldt, Universidad de Antioquia	en proceso
Acanthaceae	Ruellia potamophila	VU	B1ab(iii)	2021	en proceso	LR GEPC - Endemicas Bosque Seco - Instituto Humboldt, Universidad de Antioquia	en proceso
Acanthaceae	Ruellia uribei	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Stenostephanus cleefii	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Paramo - Universidad de Antioquia	en proceso
Achariaceae	Carpotroche grandiflora	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Achariaceae	Carpotroche pacifica	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Achariaceae	Carpotroche ramosii	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Achariaceae	Mayna pubescens	EN	B2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Achariaceae	Mayna suaveolens	EN	B2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia alloplectifolia	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia arnoldii	LC		2018	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Actinidiaceae	Saurauia aromatica	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia chiliantha	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia chocoensis	VU	B1ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia choriophylla	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia laevigata	LC		2018	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Actinidiaceae	Saurauia micayensis	VU	B2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia oroquensis	CR	B2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia parviflora	LC		2018	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Actinidiaceae	Saurauia peduncularis	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Actinidiaceae	Saurauia portachuelensis	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia pseudoleucocarpa	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Actinidiaceae	Saurauia pulchra	VU	B2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia putumayonis	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia schultesiana	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia stapfiana	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia strigillosa	NT		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia tomentosa	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Adoxaceae	Viburnum antioquiense	EN	B1ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Adoxaceae	Viburnum axillare	EN	B2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Adoxaceae	Viburnum lehmannii	VU	B1ab(iii,iv)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Adoxaceae	Viburnum subsessile	EN	B1ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Adoxaceae	Viburnum suratense	EN	B2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Alstroemeriaceae	Bomarea hazenii	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Paramo - Universidad de Antioquia	en proceso
Amaryllidaceae	Eucharis caucana	EN	B1ab(iii)	2021	en proceso	LR GEPC - Endemicas Bosque Seco - Instituto Humboldt, Universidad de Antioquia	en proceso
Amaryllidaceae	Phaedranassa lehmannii	en proceso	en proceso	2024	en proceso	Germán Torres	en proceso
Amaryllidaceae	Urceolina bonplandii	en proceso	en proceso	2024	en proceso	Germán Torres	en proceso
Amblystegiaceae	Gradsteinia andicola	LC		2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Anacardiaceae	Anacardium caracolii	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Anacardiaceae	Anacardium excelsum	NT		2007	2007	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Anacardiaceae	Anacardium negrense	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Anacardiaceae	Campnosperma panamense	NT		2007	2007	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Anacardiaceae	Mauria cuatrecasasii	EN	B2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Anacardiaceae	Mauria obtusifolia	EN	B1ab(iii)+2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Anacardiaceae	Mauria simplicifolia	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Anacardiaceae	Tapirira pilosa	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Anacardiaceae	Tapirira rubrinervis	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Aneuraceae	Riccardia capillacea	VU	D2	2002	2002	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Aneuraceae	Riccardia cataractarum	LC		2019	en proceso	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	en proceso
Aneuraceae	Riccardia fucoidea	LC		2019	en proceso	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	en proceso
Aneuraceae	Riccardia hans-meyeri	LC		2019	en proceso	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	en proceso
Aneuraceae	Riccardia pallida	LC		2019	en proceso	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	en proceso
Anisophylleaceae	Anisophyllea guianensis	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Annonaceae	Annona cercocarpa	VU	B2ab(iii)	2018	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Annona ionophylla	DD		2018	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Annona neoamazonica	DD		2018	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Annona pachyantha	VU	B1ab(iii)+2ab(iii)	2018	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Annona rufinervis	EN	B1ab(iii)	2019	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Annonaceae	Cremastosperma antioquense	EN	B1ab(iii)+2ab(iii)	2018	2021	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Cremastosperma chococola	EN	B1ab(iii)+2ab(iii)	2018	2021	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Cremastosperma dolichocarpum	EN	B1ab(iii)+2ab(iii)	2018	2021	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Cremastosperma magdalenae	EN	B1ab(iii)+2ab(iii)	2018	2021	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Cremastosperma novogranatense	VU	B1ab(iii)+2ab(iii)	2018	2021	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Cremastosperma pacificum	EN	B2ab(iii)	2018	2021	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Cymbopetalum loretoyacuense	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Annonaceae	Cymbopetalum oppositiflorum	LC		2019	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Annonaceae	Cymbopetalum sanchezii	EN	B2ab(iii)	2019	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Desmopsis colombiana	EN	B1ab(iii)+2ab(iii)	2018	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Duguetia antioquensis	LC		2018	2019	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Duguetia caniflora	EN	B1ab(iii)+2ab(iii)	2018	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Duguetia colombiana	VU	B1ab(iii,iv)	2019	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Annonaceae	Duguetia oblanceolata	DD		2018	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Duguetia vaupesana	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Annonaceae	Ephedranthus columbianus	VU	B2ab(iii)	2019	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Froesiodendron longicuspe	DD		2018	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Guatteria alta	LC		2017	2019	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Guatteria antioquensis	VU	B1ab(iii)+2ab(iii)	2017	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Guatteria araracuarae	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Annonaceae	Guatteria argentea	LC		2020	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Guatteria chasmantha	DD		2017	2019	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Guatteria crassipes	LC		2017	2019	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Guatteria denudata	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Annonaceae	Guatteria elegantissima	LC		2017	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Guatteria goudotiana	LC		2017	2019	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Guatteria novogranatensis	DD		2017	2019	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Guatteria pacifica	LC		2017	2019	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Guatteria pittieri	LC		2017	2019	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Guatteria rufotomentosa	DD		2017	2019	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Guatteria synsepala	DD		2017	2019	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Guatteria vallensis	LC		2017	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Guatteria verruculosa	DD		2017	2019	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Oxandra bolivarensis	DD		2018	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Oxandra oblongifolia	CR	B1ab(iii)	2021	en proceso	LR GEPC - Endemicas Bosque Seco - Instituto Humboldt, Universidad de Antioquia	en proceso
Annonaceae	Pseudomalmea boyacana	LC		2019	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Annonaceae	Pseudoxandra longipes	LC		2019	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Annonaceae	Pseudoxandra pacifica	LC		2019	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Annonaceae	Pseudoxandra sclerocarpa	VU	B1ab(iii)	2019	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Annonaceae	Pseudoxandra vallicola	EN	B1ab(iii)	2019	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Annonaceae	Sapranthus isae	EN	B1ab(iii)+2ab(iii)	2018	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Stenanona columbiensis	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Annonaceae	Stenanona narinensis	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Annonaceae	Unonopsis aviceps	LC		2019	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Annonaceae	Unonopsis cauliflora	DD		2018	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Unonopsis colombiana	LC		2019	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Annonaceae	Unonopsis megalophylla	VU	B1ab(iii)	2019	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Annonaceae	Unonopsis sericea	DD		2018	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Unonopsis sessilicarpa	NT		2019	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Annonaceae	Unonopsis silvatica	DD		2018	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Xylopia chocoensis	DD		2018	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Annonaceae	Xylopia platypetala	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Apiaceae	Cotopaxia whitei	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Paramo - Universidad de Antioquia	en proceso
Apiaceae	Micropleura flabellifolia	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Paramo - Universidad de Antioquia	en proceso
Apiaceae	Myrrhidendron pennellii	VU	B1+2ab(iii)	2019	2022	LR GEPC - Endemicas Paramo - Universidad ICESI, Instituto Humboldt	Publicada (UICN + SIB)
Apiaceae	Niphogeton cleefii	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Paramo - Universidad de Antioquia	en proceso
Apiaceae	Niphogeton fruticosa	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Paramo - Universidad de Antioquia	en proceso
Apiaceae	Niphogeton josei	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Paramo - Universidad de Antioquia	en proceso
Apiaceae	Niphogeton killipiana	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Paramo - Universidad de Antioquia	en proceso
Apiaceae	Perissocoeleum barclayiae	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Paramo - Universidad de Antioquia	en proceso
Apiaceae	Perissocoeleum crinoideum	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Paramo - Universidad de Antioquia	en proceso
Apocynaceae	Ambelania occidentalis	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Apocynaceae	Aspidosperma capitatum	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Apocynaceae	Aspidosperma megalocarpon	NT		2007	2007	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Apocynaceae	Aspidosperma pachypterum	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Apocynaceae	Aspidosperma polyneuron	EN	A1acd+2cd	2007	2007	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Apocynaceae	Couma catingae	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Apocynaceae	Couma utilis	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Apocynaceae	Galactophora angustifolia	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Apocynaceae	Lacmellea abbreviata	VU	B1ab(iii)	2019	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Apocynaceae	Malouetia bubalina	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Apocynaceae	Malouetia cuatrecasatis	EN	B2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Apocynaceae	Malouetia duckei	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Apocynaceae	Malouetia naias	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Apocynaceae	Malouetia quadricasarum	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Apocynaceae	Mandevilla aridana	CR	B1ab(iii)	2021	en proceso	LR GEPC - Endemicas Bosque Seco - Instituto Humboldt, Universidad de Antioquia	en proceso
Apocynaceae	Mandevilla caquetana	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Apocynaceae	Mandevilla columbiana	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Apocynaceae	Mandevilla thevetioides	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Apocynaceae	Matelea schultesii	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Apocynaceae	Matelea vaupesana	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Apocynaceae	Metastelma atrovirens	CR	B1ab(iii)	2021	en proceso	LR GEPC - Endemicas Bosque Seco - Instituto Humboldt, Universidad de Antioquia	en proceso
Apocynaceae	Parahancornia oblonga	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Apocynaceae	Rauvolfia sanctorum	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Apocynaceae	Tabernaemontana amplifolia	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Apocynaceae	Tabernaemontana leeuwenbergiana	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Apocynaceae	Vallesia vaupesana	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Aquifoliaceae	Ilex bullata	CR	B1ab(iii)+2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Aquifoliaceae	Ilex colombiana	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Aquifoliaceae	Ilex farallonensis	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Paramo - Universidad de Antioquia	en proceso
Aquifoliaceae	Ilex flosparva	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Aquifoliaceae	Ilex gale	EN	B1ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Aquifoliaceae	Ilex micrantha	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Aquifoliaceae	Ilex mucronulata	EN	B1ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Aquifoliaceae	Ilex nayana	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Aquifoliaceae	Ilex pustulosa	EN	B1ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Aquifoliaceae	Ilex sessiliflora	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Aquifoliaceae	Ilex spinulosa	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Aquifoliaceae	Ilex spruceana	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Aquifoliaceae	Ilex velutinulosa	CR	B2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
