Familia	Especie	Categoría	Criterios	Fecha_evaluación	Fecha_publicación	Iniciativa	Estado
Bromeliaceae	Pitcairnia commixta	DD		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Pitcairnia delicata	CR	B2ab(iii)	2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia dendroidea	LC		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Pitcairnia deroosei	NT		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Pitcairnia diffusa	LC		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Pitcairnia dolichopetala	VU	D2	2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Pitcairnia echinata	LC		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Pitcairnia elongata	VU	D2	2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Pitcairnia explosiva	LC		2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia exserta	VU	B2ab(iii)	2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia farinosa	DD		2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia fluvialis	EN	B1+2ab(iii)	2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia foreroi	CR	B2ab(iii)	2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia formosa	DD		2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia fosteriana	CR	B2ab(iii)	2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia fruticosa	LC		2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia gemmipara	DD		2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia grubbiana	CR	B2ab(iii)	2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia guaritermae	EN	B1+2ab(iii)	2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia guzmanioides	NT		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Pitcairnia haughtii	LC		2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia heerdeae	DD		2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia heterophylla	LC		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
